"Ticker","Nome","Negócios","Última (R$)","Variação"
"RAPT3","Randon","13.900","11,06","-1,16%"
"ENGI4","Energisa","13.000","8,00","-0,37%"
"TPIS3","Triunfo","12.700","3,92","+1,03%"
"WHRL4","Whirlpool","11.500","4,66","+0,22%"
"WLMM4","WLM","10.800","26,00","+2,48%"
"WEST3","Westwing","10.500","1,30","+0,78%"
"EPAR3","Embpar Participações","10.100","7,80","+2,50%"
"ATMP3","Atma","9.400","2,00","+3,63%"
"UNIP3","Unipar","8.100","61,89","+2,48%"
"BEES3","Banestes","6.400","8,86","+0,11%"
"EALT4","Electro Aço Altona","6.300","10,64","-0,37%"
"BPAC5","Banco BTG Pactual","6.200","8,61","-1,60%"
"REDE3","Rede Energia","6.100","6,95","-0,29%"
"HAGA4","Haga","5.600","1,16","+0,00%"
"CEDO4","Cedro Têxtil","5.100","29,60","+8,31%"
"BMEB4","Banco Mercantil do Brasil","4.900","22,90","-0,43%"
"ENGI3","Energisa","4.900","15,18","+0,80%"
"LVTC3","WDC Networks","4.800","3,84","+0,00%"
"CEBR6","CEB","4.700","21,80","-0,27%"
"OFSA3","Ourofino Saúde Animal","4.500","23,43","-2,33%"
"BPAC3","Banco BTG Pactual","4.200","17,32","-0,12%"
"FHER3","Fertilizantes Heringer","4.200","5,25","-2,42%"
"FRTA3","Pomi Frutas","4.200","1,43","-0,69%"
"BAHI3","Bahema","4.000","8,58","+0,00%"
"TASA3","Taurus","3.900","13,50","-1,03%"
"BRKM3","Braskem","3.800","23,92","+0,55%"
"CTSA4","Santanense","3.800","1,50","-0,66%"
"TRPL3","Transmissão Paulista","3.700","33,79","+0,84%"
"SCAR3","São Carlos","3.500","26,13","-1,77%"
"MGEL4","Mangels","3.200","18,62","+0,65%"
"AVLL3","Alphaville","3.200","3,77","-1,57%"
"COCE5","Coelce","2.800","34,50","-0,20%"
"EKTR4","Elektro","2.700","49,97","+4,34%"
"EQPA3","Equatorial Energia Pará","2.700","8,10","+2,14%"
"NINJ3","GetNinjas","2.700","5,11","+0,00%"
"TEKA3","Teka","2.500","50,00","+0,00%"
"CEBR5","CEB","2.500","20,49","+2,66%"
"RDNI3","RNI","2.500","3,71","-1,07%"
"BRSR3","Banrisul","2.400","13,28","+0,08%"
"PLAS3","Plascar","2.400","7,20","-4,76%"
"AFLT3","Afluente T","2.300","7,44","-6,30%"
"RPAD6","Alfa Holdings","2.200","8,43","+0,36%"
"SNSY5","Sansuy","2.200","6,38","-0,93%"
"CGAS5","Comgás","2.000","117,40","+3,91%"
"CLSC4","Celesc","2.000","67,11","+1,53%"
"BGIP4","Banese","2.000","23,30","+0,47%"
"CEBR3","CEB","2.000","21,60","+0,28%"
"ESTR4","Estrela","2.000","2,10","+0,00%"
"MNPR3","Minupar","1.900","19,50","+4,90%"
"MTSA4","METISA","1.700","49,29","+0,00%"
"PINE3","PINE","1.700","7,34","+1,24%"
"SNSY3","Sansuy","1.600","10,95","-1,08%"
"BEES4","Banestes","1.500","9,60","-1,03%"
"BAZA3","Banco da Amazônia","1.400","106,00","-0,45%"
"GEPA4","Rio Paranapanema Energia","1.400","26,60","+0,00%"
"NUTR3","Nutriplant","1.400","5,10","-1,73%"
"VSTE3","LE LIS BLANC","1.300","16,00","+0,00%"
"TELB4","Telebras","1.300","10,25","+0,49%"
"CTSA3","Santanense","1.300","2,84","-0,70%"
"WHRL3","Whirlpool","1.200","4,89","-1,61%"
"OSXB3","OSX Brasil","1.200","4,17","-1,65%"
"CGRA3","Grazziotin","900","27,50","+0,55%"
"EUCA3","Eucatex","900","17,02","-0,29%"
"CRPG5","Tronox Pigmentos","800","32,00","+0,95%"
"BSLI3","Banco de Brasília","800","9,51","+0,00%"
"RPMG3","Refinaria de Manguinhos","800","2,08","+1,46%"
"MAPT4","Cemepe","700","5,60","-9,97%"
"BAUH4","Excelsior","600","78,75","-0,01%"
"APER3","Alper","500","43,00","+2,38%"
"CSRN3","COSERN","500","26,50","+2,79%"
"BSLI4","Banco de Brasília","500","10,28","-1,06%"
"DOHL4","Döhler","500","4,50","+0,00%"
"NEXP3","Brasil Brokers","500","4,28","-0,23%"
"RSUL4","Metalúrgica Riosulense","400","81,49","+1,39%"
"DEXP4","Dexxos","400","11,26","-0,18%"
"FIEI3","Fica","400","10,00","+0,00%"
"CGAS3","Comgás","300","118,55","-0,78%"
"CRPG6","Tronox Pigmentos","300","30,66","+2,03%"
"ALPA3","Alpargatas","300","9,90","+0,00%"
"UNIP5","Unipar","200","65,11","-0,63%"
"SOND6","Sondotécnica","200","60,00","+3,48%"
"PEAB4","Participações Aliança da Bahia","200","46,12","-2,10%"
"TELB3","Telebras","200","14,20","+0,00%"
"MNDL3","Mundial","100","44,17","+0,00%"
"CEEB3","COELBA","100","39,20","-0,56%"
"CSRN5","COSERN","100","26,00","+6,56%"
"CEED4","CEEE D","100","25,00","+0,00%"
"CPLE5","Copel","100","19,90","-0,65%"
"FESA3","Ferbasa","100","15,98","+0,57%"
"MWET3","Wetzel","100","11,11","-16,47%"
"MERC4","Mercantil do Brasil Financeira","100","7,60","+0,00%"
"MAPT3","Cemepe","100","6,46","-0,46%"
"HAGA3","Haga","100","2,61","-0,76%"
"BDLL4","Bardella","1.300","9,63","+5,82%"
"CLSC3","Celesc","300","66,49","+0,74%"
"HBTS5","Habitasul","300","40,01","-2,41%"
"BRSR5","Banrisul","200","16,00","-5,83%"
"BALM4","Baumer","200","10,49","+0,00%"
"CTNM3","Coteminas","200","8,81","-0,23%"
"RPAD5","Alfa Holdings","200","8,35","+0,00%"
"HETA4","Hercules","200","6,05","-0,17%"
"PEAB3","Participações Aliança da Bahia","100","39,00","+0,00%"
"CALI3","Adolpho Lindenberg","100","29,00","+11,54%"
"BMEB3","Banco Mercantil do Brasil","100","23,00","-3,48%"
"NORD3","Nordon","100","8,00","-5,88%"
"DOHL3","Döhler","100","6,44","-0,46%"
"BMKS3","Monark","1","395,13","-1,22%"
"CBEE3","Ampla Energia","20.100","11,94","-0,50%"
"BDLL3","Bardella","1.000","12,00","-4,00%"
"IGTI4","Jereissati Participações","900","9,77","-2,10%"
"IGTI4","Iguatemi","900","9,77","-2,10%"
"EQMA3B","Equatorial Maranhão","300","28,99","-0,07%"
"MRSA6B","MRS Logística","200","26,06","+0,00%"
"USIM6","Usiminas","200","15,00","-11,24%"
"EKTR3","Elektro","100","45,35","-9,30%"
"MRSA5B","MRS Logística","100","26,06","+0,00%"
"CTKA4","Karsten","4.000","19,00","-0,58%"
"BMIN4","Banco Mercantil de Investimentos","500","15,30","-4,20%"
"MRSA3B","MRS Logística","400","28,00","+0,00%"
"LIPR3","Eletropar","300","51,90","+3,02%"
"SOND5","Sondotécnica","200","54,65","+8,17%"
"LUXM4","Trevisa","200","15,70","+0,06%"
"BGIP3","Banese","100","27,40","+0,40%"
"EALT3","Electro Aço Altona","100","9,88","+0,00%"
"BALM3","Baumer","300","12,00","+6,86%"
"EMAE3","EMAE","100","70,00","+16,65%"
"CTKA3","Karsten","300","19,00","-5,00%"
"CEDO3","Cedro Têxtil","200","33,00","+3,12%"
"AHEB3","São Paulo Turismo","100","19,00","+0,00%"
"GEPA3","Rio Paranapanema Energia","1.100","27,20","+6,67%"
"GSHP3","General Shopping & Outlets","700","10,80","+0,00%"
"ENMT4","Energisa MT","600","75,00","+0,00%"
"FRIO3","Metalfrio","200","301,00","-0,33%"
"TKNO4","Tekno","100","68,00","-1,43%"
"CSRN6","COSERN","100","24,00","+4,35%"
"JOPA3","Josapar","100","21,33","+1,57%"
"BNBR3","Banco do Nordeste","100","109,00","+2,35%"
"BRIV4","Alfa Investimento","700","12,54","+0,08%"
"ENMT3","Energisa MT","100","77,00","+0,67%"
"DTCY3","Dtcom","100","4,70","+5,62%"
"CRIV4","Alfa Financeira","90.000","6,74","+0,15%"
"CRPG3","Tronox Pigmentos","500","33,80","-4,79%"
"MOAR3","Monteiro Aranha","400","396,00","+0,25%"
"BRGE3","Consórcio Alfa","100","13,50","+0,00%"
"BRIV3","Alfa Investimento","3.000","12,86","+0,23%"
"ELET5","Eletrobras","1.000","99,00","+0,00%"
"BRGE6","Consórcio Alfa","400","12,92","+0,16%"
"PATI3","Panatlântica","100","29,90","+7,94%"
"DMFN3","DM Financeira","100","12,50","+0,00%"
"EQPA6","Equatorial Energia Pará","600","9,00","+0,00%"
"CRIV3","Alfa Financeira","300","6,98","+0,14%"
"BRKM6","Braskem","100","15,18","-5,07%"
"BRGE12","Consórcio Alfa","100","13,47","-0,88%"
"BRGE11","Consórcio Alfa","300","13,18","+0,08%"
"GPAR3","CELGPAR","100","47,50","+11,06%"
"PATI4","Panatlântica","300","33,00","+3,12%"
"RPAD3","Alfa Holdings","1.000","8,40","+0,12%"
"TEKA4","Teka","700","40,95","+2,38%"
"MSPA4","Melhoramentos","2.100","37,00","-2,63%"
"WLMM3","WLM","200","22,81","-6,32%"
"EQPA7","Equatorial Energia Pará","8.000","7,51","+0,00%"
"BRGE5","Consórcio Alfa","100","13,18","+0,08%"
"BRGE8","Consórcio Alfa","400","13,17","+12,95%"
"MSPA3","Melhoramentos","100","43,00","+0,00%"
"CEEB5","COELBA","100","36,86","+0,03%"
"BRGE7","Consórcio Alfa","500","13,07","-3,54%"
"EQPA5","Equatorial Energia Pará","100","7,50","+0,00%"
"JOPA4","Josapar","200","35,00","+3,55%"
"BMIN3","Banco Mercantil de Investimentos","100","20,01","+0,00%"
"COCE3","Coelce","100","50,99","+8,49%"
"CEGR3","Naturgy (CEG)","300","68,00","-20,00%"
"ESTR3","Estrela","200","7,60","-5,00%"
"AHEB5","São Paulo Turismo","100","16,61","+0,00%"
"CEED3","CEEE D","100","22,90","-5,68%"
"CSAB3","Cia. de Seg. Aliança da Bahia","100","30,50","-1,61%"
"CSAB4","Cia. de Seg. Aliança da Bahia","1.600","48,97","+19,47%"
"MEGA3","OMEGA ENERGIA S.A.","2.220.100","9,62","+1,48%"
"SQIA3","Sinqia","1.444.800","27,37","-0,29%"
"ALSO3","Aliansce Sonae","5.883.300","23,33","+2,06%"
"BRPR3","BR Properties","10.600","131,17","+2,48%"
"MTSA3","METISA","100","79,00","+2,60%"
"SLED4","Saraiva","64.300","1,60","-1,84%"
"SLED3","Saraiva","3.000","3,21","-0,31%"
"AHEB6","São Paulo Turismo","100","17,02","+0,06%"
"VIIA3","VIIA3","213.149.200","0,75","+2,74%"
"ENBR3","EDP Brasil","1.697.900","24,08","+0,12%"
"BOAS3","Boa Vista","23.239.000","7,95","-0,38%"
"MODL3","Banco Modal","16.688.000","3,08","+0,33%"
"MERC3","Mercantil do Brasil Financeira","51.500","15,28","+1,13%"
"CRDE3","CRDE3","400","16,00","+0,00%"
"IGBR3","IGB Eletrônica","700","175,99","+1,14%"
"ODER4","Conservas Oderich","100","100,00","+12,35%"
"PARD3","Hermes Pardini","1.861.800","18,10","+1,29%"
"CASN3","CASAN","100","10,43","-18,39%"
"WIZS3","WIZS3","779.400","7,16","+1,99%"
"LLIS3","LLIS3","249.800","1,73","+2,98%"
"BRML3","BRMalls","16.132.900","8,26","+2,35%"
"DMMO3","Dommo Energia","3.254.800","1,76","-1,12%"
"GETT3","Getnet","46.500","2,40","+1,27%"
"GETT4","Getnet","18.500","2,40","+1,27%"
"SULA4","SulAmérica","18.600","7,63","+5,53%"
"SULA3","SulAmérica","4.000","7,43","+1,50%"
"CEPE5","CELPE","100","40,12","+0,02%"
"TCNO4","Tecnosolo","36.800","0,85","-9,57%"
"TCNO3","Tecnosolo","3.400","1,20","-1,64%"
"CEPE6","CELPE","100","43,00","+6,17%"
"BKBR3","BKBR3","782.300","7,63","+0,26%"
"MTIG4","Metalgráfica Iguaçu","100","23,00","+0,00%"
"BLUT4","Blue Tech Solutions","171.100","1,52","-5,59%"
"BLUT3","Blue Tech Solutions","13.400","5,14","+0,59%"
"MODL4","Banco Modal","700","2,72","-2,16%"
"CARD3","CARD3","118.000","14,51","+1,82%"
"SHUL3","Schulz","100","27,94","-50,12%"
"FIGE3","Investimentos Bemge","100","12,03","+99,83%"
"FNCN3","FNCN3","4.800","14,25","-0,35%"
"HETA3","Hercules","200","96,00","+0,00%"
"LCAM3","Locamerica","26.118.900","24,15","+1,86%"
"BIDI4","Banco Inter","52.479.800","3,41","-2,01%"
"BIDI3","Banco Inter","15.262.400","3,40","-2,58%"
"EEEL4","CEEE GT","100","410,00","-2,88%"
"EEEL3","CEEE GT","400","421,01","+5,25%"
"BBRK3","BBRK3","1.279.600","0,80","+1,27%"
"SOND3","Sondotécnica","200","46,01","+14,45%"
"CESP6","CESP","9.306.600","25,25","+1,41%"
"CESP3","CESP","11.500","25,55","+1,71%"
"CESP5","CESP","300","25,00","+2,75%"
"ECPR4","Encorpar","100","90,74","+0,42%"
"MOSI3","Mosaico","1.021.200","8,24","+3,00%"
"POWE3","Focus Energia","678.000","10,90","-2,24%"
"ECPR3","Encorpar","300","90,25","+12,97%"
"GNDI3","NotreDame Intermédica","33.458.600","65,34","+0,00%"
"LAME4","Lojas Americanas","43.631.000","6,55","+2,02%"
"LAME3","Lojas Americanas","10.941.100","6,62","+2,95%"
"OMGE3","Omega Geração","834.900","27,57","-0,86%"
"IGTA3","IGTA3","1.643.400","33,13","+0,18%"
"JPSA3","JPSA3","100.100","29,02","+1,75%"
"BRDT3","BRDT3","24.483.500","22,03","-5,17%"
"JBDU4","JBDU4","2.556.100","1,36","+3,82%"
"JBDU3","JBDU3","1.890.100","3,12","+9,09%"
"HGTX3","Hering","7.519.800","37,50","-2,65%"
"CCPR3","CCPR3","328.200","10,16","-4,51%"
"DTEX3","DTEX3","2.867.800","20,63","-3,10%"
"VVAR3","VVAR3","64.987.000","11,30","-6,38%"
"PNVL4","Dimed","2.000","18,62","-2,67%"
"TESA3","Terra Santa","41.100","48,00","-2,74%"
"BTOW3","BTOW3","11.169.600","68,00","+4,15%"
"LINX3","Linx","8.510.000","37,40","-0,27%"
"BTTL3","BTTL3","6.100","19,72","-2,33%"
"GPCP3","GPCP3","698.100","49,00","-3,92%"
"GPCP4","GPCP4","5.300","45,51","-1,30%"
"SMLS3","Smiles","1.944.100","22,40","-1,71%"
"MMXM3","MMX Mineração","1.240.300","14,00","-30,35%"
"BSEV3","Biosev","528.800","9,00","+8,43%"
"CNTO3","CNTO3","2.083.600","28,08","+4,78%"
"TIET4","AES Tietê Energia","323.700","3,51","+1,15%"
"TIET3","AES Tietê Energia","169.100","3,49","+0,87%"
"CORR4","Corrêa Ribeiro","100","82,00","+18,84%"
"CEPE3","CELPE","1.300","128,00","+85,32%"
"CALI4","Adolpho Lindenberg","100","50,00","+4,17%"
"SNSY6","Sansuy","100","11,51","+4,64%"
"CASN4","CASAN","100","10,00","-16,67%"
"BPAR3","Banpará","100","182,07","+20,58%"
"APTI4","Aliperti","200","3.500,00","-61,96%"
"VSPT3","FCA","1.000.000","4.999.999,50","+114,29%"
"MTIG3","Metalgráfica Iguaçu","400","156,30","+29,60%"
"FIGE4","Investimentos Bemge","100","38,01","-4,97%"
"LUXM3","Trevisa","200","2,50","+8,23%"
"TKNO3","Tekno","100","85,79","+10,64%"
"COCE6","Coelce","100","35,00","+16,63%"
"MGEL3","Mangels","100","75,00","+8,70%"
"CTSA8","Santanense","2.000","1,00","+0,00%"
"MMAQ4","Minasmáquinas","14","200,06","-28,55%"
